SEQ;F#;TYPE;DESCRIPT
;1;PROG;
1;2-5;DATA;IWO JIMA
2;6-10;DATA;GASTON
3;11-16;DATA;DODGE
4;17-21;DATA;GMC
5;22-33;DATA;SHERMAN
6;34-44;DATA;TEK465
7;47-71;DATA;BASTOGNE_44
8;72-80;DATA;RR_MERLIN
9;81-85;DATA;CITROEN_15CV
10;86-90;DATA;CITROEN_2CV
11;91-95;DATA;CITROEN DS19
12;96;DATA;MG
13;96;DATA;CITROEN DS19
14;97-104;DATA;MG
15;105-108;DATA;SPITFIRE MK9
16;109;DATA;test
17;110-114;DATA;SP_VEHICULE
18;115-119;DATA;ME262
19;120-122;DATA;METEOR
20;123-126;DATA;T33
21;127-128;DATA;TINTIN_1
22;129-130;DATA;TINTIN_2
;200-201;PROG;
